Rank,Title,Weeks in Top 10,Views,Runtime,Hours Viewed,Region,Week
7,One of Them Days,2,"3,000,000",1:37,"4,900,000",Global,2025-04-13
8,Despicable Me 4,9,"2,600,000",1:34,"4,100,000",Global,2025-04-13
9,Lucy,2,"2,600,000",1:29,"3,800,000",Global,2025-04-13
10,PAW Patrol: The Mighty Movie,4,"2,500,000",1:28,"3,700,000",Global,2025-04-13
1,The Life List,6,"29,200,000",2:05,"60,800,000",Global,2025-04-06
2,One of Them Days,2,"7,700,000",1:37,"12,400,000",Global,2025-04-06
3,Alpha,2,"5,500,000",1:37,"8,900,000",Global,2025-04-06
4,Geostorm,1,"4,900,000",1:49,"8,900,000",Global,2025-04-06
5,Sniper: Rogue Mission,1,"4,800,000",1:36,"7,700,000",Global,2025-04-06
6,The Core,1,"4,500,000",2:15,"10,100,000",Global,2025-04-06
7,Kraven the Hunter,4,"4,200,000",2:07,"8,800,000",Global,2025-04-06
8,Con Mum,2,"4,000,000",1:29,"5,900,000",Global,2025-04-06
9,The Electric State,4,"3,800,000",2:08,"8,200,000",Global,2025-04-06
10,Robinson Crusoe,1,"3,400,000",1:31,"5,100,000",Global,2025-04-06
1,The Life List,6,"24,400,000",2:05,"50,800,000",Global,2025-03-30
2,The Electric State,4,"7,600,000",2:08,"16,300,000",Global,2025-03-30
3,Con Mum,2,"6,300,000",1:29,"9,400,000",Global,2025-03-30
4,Den of Thieves 2: Pantera,2,"6,000,000",2:24,"14,300,000",Global,2025-03-30
5,The Twister: Caught in the Storm,2,"5,500,000",1:29,"8,100,000",Global,2025-03-30
6,Kraven the Hunter,4,"5,400,000",2:07,"11,500,000",Global,2025-03-30
7,A Quiet Place: Day One,2,"4,600,000",1:40,"7,700,000",Global,2025-03-30
8,Despicable Me 4,9,"4,100,000",1:34,"6,400,000",Global,2025-03-30
9,PAW Patrol: The Mighty Movie,4,"3,900,000",1:28,"5,700,000",Global,2025-03-30
10,Plankton: The Movie,4,"3,300,000",1:28,"4,800,000",Global,2025-03-30
1,The Electric State,4,"22,500,000",2:08,"48,000,000",Global,2025-03-23
2,The Twister: Caught in the Storm,2,"17,000,000",1:29,"25,200,000",Global,2025-03-23
3,Den of Thieves 2: Pantera,2,"8,400,000",2:24,"20,100,000",Global,2025-03-23
4,Kraven the Hunter,4,"6,000,000",2:07,"12,800,000",Global,2025-03-23
5,A Quiet Place: Day One,2,"5,700,000",1:40,"9,500,000",Global,2025-03-23
6,Plankton: The Movie,4,"5,500,000",1:28,"8,000,000",Global,2025-03-23
7,Despicable Me 4,9,"4,900,000",1:34,"7,700,000",Global,2025-03-23
